Dragon Ball Super Characters
Son Goku
Bulma
Kame-Sennin
Yamcha
Kuririn
Tenshinhan
Piccolo
Son Gohan
Vegeta
Trunks
Son Goten
Pan
Android 18
Beerus
Chaozu
Chi-Chi
Lunch
Mr. Satan
Oolong
Pu'ar
Videl
Whis
Yajirobe
Zen_
Piccolo Daimao
Freeza
Cell
Majin Boo
Goku Black / Zamasu
Android 16
Android 17
Arale Norimaki
Baba Uranai
Bobbidi
Bra
Burdock
Champa
Dende
Dr. Briefs
Doctor Gero
Ginyu Force
Grandpa Son Gohan
Jaco
Kai_-sama
Kai_-shin
Kami
Karin
Mr. Popo
Nappa
Oob
Pilaf
Raditz
Red Ribbon Army
Shenlong
Sorbet
Taopaipai
Vados
